"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 21:42:36 GMT 2021","Wed May 26 21:42:47 GMT 2021","11156","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Wed May 26 21:40:46 GMT 2021","Wed May 26 21:41:00 GMT 2021","13693","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Wed May 26 21:46:40 GMT 2021","Wed May 26 21:49:08 GMT 2021","147583","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Wed May 26 21:40:27 GMT 2021","Wed May 26 21:40:46 GMT 2021","18454","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Wed May 26 21:42:17 GMT 2021","Wed May 26 21:42:27 GMT 2021","9320","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Wed May 26 21:49:08 GMT 2021","Wed May 26 21:51:36 GMT 2021","148244","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Wed May 26 21:44:13 GMT 2021","Wed May 26 21:46:40 GMT 2021","147630","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Wed May 26 21:40:06 GMT 2021","Wed May 26 21:40:27 GMT 2021","21537","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"skipped","Wed May 26 21:42:27 GMT 2021","Wed May 26 21:42:27 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"skipped","Wed May 26 21:42:47 GMT 2021","Wed May 26 21:42:47 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Wed May 26 21:42:47 GMT 2021","Wed May 26 21:42:47 GMT 2021","20","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Wed May 26 21:43:58 GMT 2021","Wed May 26 21:44:13 GMT 2021","14531","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Wed May 26 21:42:47 GMT 2021","Wed May 26 21:42:47 GMT 2021","26","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"failed","Wed May 26 21:43:04 GMT 2021","Wed May 26 21:43:58 GMT 2021","54218","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Wed May 26 21:41:00 GMT 2021","Wed May 26 21:42:17 GMT 2021","77747","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"passed","Wed May 26 21:42:47 GMT 2021","Wed May 26 21:43:04 GMT 2021","16440","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
