"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 29 00:26:01 GMT 2021","Sat May 29 00:28:10 GMT 2021","129057","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"skipped","Sat May 29 00:30:19 GMT 2021","Sat May 29 00:30:19 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Sat May 29 00:37:23 GMT 2021","Sat May 29 00:39:31 GMT 2021","128849","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Sat May 29 00:21:43 GMT 2021","Sat May 29 00:23:52 GMT 2021","128926","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Sat May 29 00:35:14 GMT 2021","Sat May 29 00:37:23 GMT 2021","128944","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Sat May 29 00:33:04 GMT 2021","Sat May 29 00:35:14 GMT 2021","129119","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Sat May 29 00:30:55 GMT 2021","Sat May 29 00:30:55 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Sat May 29 00:30:55 GMT 2021","Sat May 29 00:33:04 GMT 2021","129039","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Sat May 29 00:30:55 GMT 2021","Sat May 29 00:30:55 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Sat May 29 00:30:55 GMT 2021","Sat May 29 00:30:55 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Sat May 29 00:19:33 GMT 2021","Sat May 29 00:21:43 GMT 2021","130652","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Sat May 29 00:41:40 GMT 2021","Sat May 29 00:43:50 GMT 2021","129120","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Sat May 29 00:39:31 GMT 2021","Sat May 29 00:41:40 GMT 2021","129021","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Sat May 29 00:30:55 GMT 2021","Sat May 29 00:30:55 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Sat May 29 00:28:10 GMT 2021","Sat May 29 00:30:19 GMT 2021","128991","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Sat May 29 00:23:52 GMT 2021","Sat May 29 00:26:01 GMT 2021","128914","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
