"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 00:31:41 GMT 2021","Mon Aug 23 00:34:04 GMT 2021","143560","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"skipped","Mon Aug 23 00:19:02 GMT 2021","Mon Aug 23 00:19:02 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Mon Aug 23 00:24:30 GMT 2021","Mon Aug 23 00:26:54 GMT 2021","143427","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Mon Aug 23 00:09:27 GMT 2021","Mon Aug 23 00:11:50 GMT 2021","143691","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Mon Aug 23 00:19:43 GMT 2021","Mon Aug 23 00:19:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Mon Aug 23 00:07:01 GMT 2021","Mon Aug 23 00:09:27 GMT 2021","146076","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Mon Aug 23 00:16:38 GMT 2021","Mon Aug 23 00:19:02 GMT 2021","143629","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Mon Aug 23 00:22:06 GMT 2021","Mon Aug 23 00:24:30 GMT 2021","143805","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Mon Aug 23 00:19:43 GMT 2021","Mon Aug 23 00:19:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Mon Aug 23 00:19:43 GMT 2021","Mon Aug 23 00:22:06 GMT 2021","143548","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:40"
"broken","Mon Aug 23 00:19:43 GMT 2021","Mon Aug 23 00:19:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Mon Aug 23 00:19:43 GMT 2021","Mon Aug 23 00:19:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Mon Aug 23 00:26:54 GMT 2021","Mon Aug 23 00:29:17 GMT 2021","143624","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Mon Aug 23 00:14:14 GMT 2021","Mon Aug 23 00:16:38 GMT 2021","143715","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Mon Aug 23 00:29:17 GMT 2021","Mon Aug 23 00:31:41 GMT 2021","143638","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Mon Aug 23 00:11:50 GMT 2021","Mon Aug 23 00:14:14 GMT 2021","143880","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
