"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 25 00:10:38 GMT 2021","Tue May 25 00:10:58 GMT 2021","19543","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Tue May 25 00:13:26 GMT 2021","Tue May 25 00:15:56 GMT 2021","150718","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Tue May 25 00:15:56 GMT 2021","Tue May 25 00:18:27 GMT 2021","150995","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"skipped","Tue May 25 00:11:43 GMT 2021","Tue May 25 00:11:43 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"skipped","Tue May 25 00:11:55 GMT 2021","Tue May 25 00:11:55 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Tue May 25 00:13:10 GMT 2021","Tue May 25 00:13:26 GMT 2021","15747","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Tue May 25 00:11:12 GMT 2021","Tue May 25 00:11:33 GMT 2021","20504","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Tue May 25 00:18:27 GMT 2021","Tue May 25 00:20:58 GMT 2021","151019","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"passed","Tue May 25 00:11:53 GMT 2021","Tue May 25 00:11:55 GMT 2021","1316","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"failed","Tue May 25 00:12:13 GMT 2021","Tue May 25 00:13:10 GMT 2021","57070","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Tue May 25 00:11:55 GMT 2021","Tue May 25 00:11:55 GMT 2021","23","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Tue May 25 00:11:55 GMT 2021","Tue May 25 00:11:55 GMT 2021","19","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Tue May 25 00:11:55 GMT 2021","Tue May 25 00:12:13 GMT 2021","17913","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Tue May 25 00:11:33 GMT 2021","Tue May 25 00:11:43 GMT 2021","10576","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"passed","Tue May 25 00:10:58 GMT 2021","Tue May 25 00:11:12 GMT 2021","14472","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"passed","Tue May 25 00:10:11 GMT 2021","Tue May 25 00:10:38 GMT 2021","27428","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
