"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 06 00:32:33 GMT 2021","Sun Jun 06 00:34:43 GMT 2021","129426","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Sun Jun 06 00:34:43 GMT 2021","Sun Jun 06 00:36:52 GMT 2021","129364","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Sun Jun 06 00:28:14 GMT 2021","Sun Jun 06 00:28:14 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Sun Jun 06 00:16:45 GMT 2021","Sun Jun 06 00:19:00 GMT 2021","135626","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Sun Jun 06 00:23:19 GMT 2021","Sun Jun 06 00:25:28 GMT 2021","129363","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Sun Jun 06 00:28:14 GMT 2021","Sun Jun 06 00:30:24 GMT 2021","129390","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Sun Jun 06 00:28:14 GMT 2021","Sun Jun 06 00:28:14 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Sun Jun 06 00:36:52 GMT 2021","Sun Jun 06 00:39:02 GMT 2021","129597","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Sun Jun 06 00:28:14 GMT 2021","Sun Jun 06 00:28:14 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Sun Jun 06 00:30:24 GMT 2021","Sun Jun 06 00:32:33 GMT 2021","129445","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Sun Jun 06 00:19:00 GMT 2021","Sun Jun 06 00:21:10 GMT 2021","129454","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Sun Jun 06 00:28:14 GMT 2021","Sun Jun 06 00:28:14 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Sun Jun 06 00:25:28 GMT 2021","Sun Jun 06 00:27:38 GMT 2021","129437","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Sun Jun 06 00:21:10 GMT 2021","Sun Jun 06 00:23:19 GMT 2021","129472","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"skipped","Sun Jun 06 00:27:38 GMT 2021","Sun Jun 06 00:27:38 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Sun Jun 06 00:39:02 GMT 2021","Sun Jun 06 00:41:11 GMT 2021","129503","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
