"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 30 00:41:51 GMT 2021","Sun May 30 00:44:00 GMT 2021","128648","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Sun May 30 00:33:16 GMT 2021","Sun May 30 00:33:16 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Sun May 30 00:37:34 GMT 2021","Sun May 30 00:39:43 GMT 2021","128997","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Sun May 30 00:39:43 GMT 2021","Sun May 30 00:41:51 GMT 2021","128641","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Sun May 30 00:30:32 GMT 2021","Sun May 30 00:32:40 GMT 2021","128565","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Sun May 30 00:21:56 GMT 2021","Sun May 30 00:24:06 GMT 2021","129877","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Sun May 30 00:33:17 GMT 2021","Sun May 30 00:35:25 GMT 2021","128670","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Sun May 30 00:35:25 GMT 2021","Sun May 30 00:37:34 GMT 2021","128485","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Sun May 30 00:26:15 GMT 2021","Sun May 30 00:28:23 GMT 2021","128687","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Sun May 30 00:24:06 GMT 2021","Sun May 30 00:26:15 GMT 2021","128446","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Sun May 30 00:33:16 GMT 2021","Sun May 30 00:33:16 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Sun May 30 00:28:23 GMT 2021","Sun May 30 00:30:32 GMT 2021","128548","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Sun May 30 00:33:16 GMT 2021","Sun May 30 00:33:16 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Sun May 30 00:44:00 GMT 2021","Sun May 30 00:46:09 GMT 2021","128703","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"skipped","Sun May 30 00:32:40 GMT 2021","Sun May 30 00:32:40 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Sun May 30 00:33:16 GMT 2021","Sun May 30 00:33:16 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
