"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 11 00:27:19 GMT 2021","Fri Jun 11 00:29:28 GMT 2021","129052","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Fri Jun 11 00:29:28 GMT 2021","Fri Jun 11 00:31:37 GMT 2021","128854","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Fri Jun 11 00:09:31 GMT 2021","Fri Jun 11 00:11:40 GMT 2021","129038","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Fri Jun 11 00:23:01 GMT 2021","Fri Jun 11 00:25:10 GMT 2021","128786","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Fri Jun 11 00:18:43 GMT 2021","Fri Jun 11 00:18:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Fri Jun 11 00:20:52 GMT 2021","Fri Jun 11 00:23:01 GMT 2021","128970","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Fri Jun 11 00:18:43 GMT 2021","Fri Jun 11 00:18:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Fri Jun 11 00:18:43 GMT 2021","Fri Jun 11 00:20:52 GMT 2021","129318","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Fri Jun 11 00:07:20 GMT 2021","Fri Jun 11 00:09:31 GMT 2021","130607","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Fri Jun 11 00:25:10 GMT 2021","Fri Jun 11 00:27:19 GMT 2021","128765","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Fri Jun 11 00:15:58 GMT 2021","Fri Jun 11 00:18:06 GMT 2021","128934","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"skipped","Fri Jun 11 00:18:06 GMT 2021","Fri Jun 11 00:18:06 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Fri Jun 11 00:13:49 GMT 2021","Fri Jun 11 00:15:58 GMT 2021","128938","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Fri Jun 11 00:11:40 GMT 2021","Fri Jun 11 00:13:49 GMT 2021","129031","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Fri Jun 11 00:18:43 GMT 2021","Fri Jun 11 00:18:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Fri Jun 11 00:18:43 GMT 2021","Fri Jun 11 00:18:43 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
