"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 27 00:16:15 GMT 2021","Thu May 27 00:16:35 GMT 2021","20146","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"passed","Thu May 27 00:15:41 GMT 2021","Thu May 27 00:16:00 GMT 2021","19481","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Thu May 27 00:16:55 GMT 2021","Thu May 27 00:16:57 GMT 2021","1297","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Thu May 27 00:16:57 GMT 2021","Thu May 27 00:16:57 GMT 2021","23","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"skipped","Thu May 27 00:16:45 GMT 2021","Thu May 27 00:16:45 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"failed","Thu May 27 00:17:14 GMT 2021","Thu May 27 00:18:12 GMT 2021","57259","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Thu May 27 00:16:00 GMT 2021","Thu May 27 00:16:15 GMT 2021","14595","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Thu May 27 00:18:27 GMT 2021","Thu May 27 00:20:57 GMT 2021","150210","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Thu May 27 00:16:57 GMT 2021","Thu May 27 00:16:57 GMT 2021","17","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Thu May 27 00:16:57 GMT 2021","Thu May 27 00:17:14 GMT 2021","17478","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Thu May 27 00:20:57 GMT 2021","Thu May 27 00:23:28 GMT 2021","150923","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"skipped","Thu May 27 00:16:57 GMT 2021","Thu May 27 00:16:57 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Thu May 27 00:15:11 GMT 2021","Thu May 27 00:15:41 GMT 2021","29968","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"passed","Thu May 27 00:16:35 GMT 2021","Thu May 27 00:16:45 GMT 2021","9974","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Thu May 27 00:23:28 GMT 2021","Thu May 27 00:25:59 GMT 2021","150724","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"passed","Thu May 27 00:18:12 GMT 2021","Thu May 27 00:18:27 GMT 2021","15297","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
