"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 21 00:19:13 GMT 2021","Mon Jun 21 00:19:13 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Mon Jun 21 00:27:50 GMT 2021","Mon Jun 21 00:29:59 GMT 2021","129231","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Mon Jun 21 00:19:13 GMT 2021","Mon Jun 21 00:19:13 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Mon Jun 21 00:21:22 GMT 2021","Mon Jun 21 00:23:31 GMT 2021","129254","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Mon Jun 21 00:12:09 GMT 2021","Mon Jun 21 00:14:18 GMT 2021","129193","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Mon Jun 21 00:10:00 GMT 2021","Mon Jun 21 00:12:09 GMT 2021","129099","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Mon Jun 21 00:29:59 GMT 2021","Mon Jun 21 00:32:08 GMT 2021","129267","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"skipped","Mon Jun 21 00:18:36 GMT 2021","Mon Jun 21 00:18:36 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Mon Jun 21 00:25:41 GMT 2021","Mon Jun 21 00:27:50 GMT 2021","129172","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Mon Jun 21 00:14:18 GMT 2021","Mon Jun 21 00:16:27 GMT 2021","129200","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Mon Jun 21 00:19:13 GMT 2021","Mon Jun 21 00:19:13 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Mon Jun 21 00:19:13 GMT 2021","Mon Jun 21 00:21:22 GMT 2021","129187","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Mon Jun 21 00:23:31 GMT 2021","Mon Jun 21 00:25:41 GMT 2021","129237","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Mon Jun 21 00:19:13 GMT 2021","Mon Jun 21 00:19:13 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Mon Jun 21 00:16:27 GMT 2021","Mon Jun 21 00:18:36 GMT 2021","129302","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Mon Jun 21 00:07:46 GMT 2021","Mon Jun 21 00:10:00 GMT 2021","133273","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
