"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 19 20:40:15 GMT 2021","Wed May 19 20:40:29 GMT 2021","14566","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Wed May 19 20:40:44 GMT 2021","Wed May 19 20:40:58 GMT 2021","14208","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"skipped","Wed May 19 20:37:34 GMT 2021","Wed May 19 20:37:34 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"passed","Wed May 19 20:36:54 GMT 2021","Wed May 19 20:37:06 GMT 2021","12519","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"skipped","Wed May 19 20:37:54 GMT 2021","Wed May 19 20:37:54 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Wed May 19 20:40:29 GMT 2021","Wed May 19 20:40:44 GMT 2021","14447","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Wed May 19 20:40:00 GMT 2021","Wed May 19 20:40:15 GMT 2021","14923","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Wed May 19 20:37:54 GMT 2021","Wed May 19 20:39:07 GMT 2021","72283","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Wed May 19 20:37:54 GMT 2021","Wed May 19 20:37:54 GMT 2021","21","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Wed May 19 20:37:25 GMT 2021","Wed May 19 20:37:34 GMT 2021","9031","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Wed May 19 20:34:10 GMT 2021","Wed May 19 20:36:54 GMT 2021","163853","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Wed May 19 20:37:43 GMT 2021","Wed May 19 20:37:54 GMT 2021","11115","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Wed May 19 20:37:54 GMT 2021","Wed May 19 20:37:54 GMT 2021","32","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Wed May 19 20:37:06 GMT 2021","Wed May 19 20:37:25 GMT 2021","18647","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"passed","Wed May 19 20:33:48 GMT 2021","Wed May 19 20:34:10 GMT 2021","21566","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"failed","Wed May 19 20:39:07 GMT 2021","Wed May 19 20:40:00 GMT 2021","53140","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
