"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 24 00:15:11 GMT 2021","Mon May 24 00:17:36 GMT 2021","145269","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Mon May 24 00:12:53 GMT 2021","Mon May 24 00:13:05 GMT 2021","11756","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"passed","Mon May 24 00:09:50 GMT 2021","Mon May 24 00:10:11 GMT 2021","20963","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"failed","Mon May 24 00:14:06 GMT 2021","Mon May 24 00:14:57 GMT 2021","50599","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Mon May 24 00:10:11 GMT 2021","Mon May 24 00:12:53 GMT 2021","161755","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"skipped","Mon May 24 00:13:31 GMT 2021","Mon May 24 00:13:31 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Mon May 24 00:20:02 GMT 2021","Mon May 24 00:22:27 GMT 2021","145417","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Mon May 24 00:17:36 GMT 2021","Mon May 24 00:20:02 GMT 2021","145768","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Mon May 24 00:13:40 GMT 2021","Mon May 24 00:13:50 GMT 2021","10346","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Mon May 24 00:14:57 GMT 2021","Mon May 24 00:15:11 GMT 2021","13861","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"skipped","Mon May 24 00:13:50 GMT 2021","Mon May 24 00:13:50 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Mon May 24 00:13:23 GMT 2021","Mon May 24 00:13:31 GMT 2021","8483","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"passed","Mon May 24 00:13:50 GMT 2021","Mon May 24 00:13:50 GMT 2021","20","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Mon May 24 00:13:50 GMT 2021","Mon May 24 00:13:50 GMT 2021","19","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Mon May 24 00:13:50 GMT 2021","Mon May 24 00:14:06 GMT 2021","15712","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Mon May 24 00:13:05 GMT 2021","Mon May 24 00:13:23 GMT 2021","18003","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
