"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 00:17:44 GMT 2021","Wed May 26 00:17:53 GMT 2021","9196","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Wed May 26 00:19:29 GMT 2021","Wed May 26 00:21:56 GMT 2021","147311","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Wed May 26 00:21:56 GMT 2021","Wed May 26 00:24:24 GMT 2021","147093","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"failed","Wed May 26 00:18:20 GMT 2021","Wed May 26 00:19:14 GMT 2021","54325","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Wed May 26 00:19:14 GMT 2021","Wed May 26 00:19:29 GMT 2021","14729","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Wed May 26 00:17:24 GMT 2021","Wed May 26 00:17:44 GMT 2021","19238","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"passed","Wed May 26 00:18:02 GMT 2021","Wed May 26 00:18:03 GMT 2021","1231","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Wed May 26 00:14:04 GMT 2021","Wed May 26 00:14:25 GMT 2021","21498","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"skipped","Wed May 26 00:17:53 GMT 2021","Wed May 26 00:17:53 GMT 2021","1","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Wed May 26 00:24:24 GMT 2021","Wed May 26 00:26:51 GMT 2021","147293","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"passed","Wed May 26 00:18:03 GMT 2021","Wed May 26 00:18:03 GMT 2021","24","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Wed May 26 00:14:25 GMT 2021","Wed May 26 00:17:11 GMT 2021","165344","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Wed May 26 00:18:04 GMT 2021","Wed May 26 00:18:20 GMT 2021","16418","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Wed May 26 00:18:03 GMT 2021","Wed May 26 00:18:03 GMT 2021","21","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Wed May 26 00:17:11 GMT 2021","Wed May 26 00:17:24 GMT 2021","13844","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"skipped","Wed May 26 00:18:03 GMT 2021","Wed May 26 00:18:03 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
