"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 19 20:56:44 GMT 2021","Wed May 19 20:56:44 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Wed May 19 20:56:03 GMT 2021","Wed May 19 20:56:23 GMT 2021","19916","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"passed","Wed May 19 20:57:57 GMT 2021","Wed May 19 20:58:12 GMT 2021","15112","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Wed May 19 20:55:30 GMT 2021","Wed May 19 20:55:49 GMT 2021","18779","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Wed May 19 20:56:44 GMT 2021","Wed May 19 20:56:44 GMT 2021","28","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Wed May 19 20:56:42 GMT 2021","Wed May 19 20:56:44 GMT 2021","1555","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Wed May 19 20:55:07 GMT 2021","Wed May 19 20:55:30 GMT 2021","23314","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"passed","Wed May 19 20:55:49 GMT 2021","Wed May 19 20:56:03 GMT 2021","13737","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"skipped","Wed May 19 20:56:32 GMT 2021","Wed May 19 20:56:32 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"passed","Wed May 19 20:56:23 GMT 2021","Wed May 19 20:56:32 GMT 2021","9469","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"failed","Wed May 19 20:57:01 GMT 2021","Wed May 19 20:57:57 GMT 2021","56042","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Wed May 19 20:56:44 GMT 2021","Wed May 19 20:56:44 GMT 2021","24","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"passed","Wed May 19 20:58:27 GMT 2021","Wed May 19 20:58:42 GMT 2021","15014","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Wed May 19 20:58:42 GMT 2021","Wed May 19 20:58:57 GMT 2021","15078","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"passed","Wed May 19 20:56:44 GMT 2021","Wed May 19 20:57:01 GMT 2021","16892","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Wed May 19 20:58:12 GMT 2021","Wed May 19 20:58:27 GMT 2021","15169","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
