"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:38"
"broken","Thu Jun 03 19:04:16 GMT 2021","Thu Jun 03 19:06:25 GMT 2021","128735","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:24"
"broken","Thu Jun 03 18:49:13 GMT 2021","Thu Jun 03 18:51:24 GMT 2021","130684","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:26"
"broken","Thu Jun 03 19:06:25 GMT 2021","Thu Jun 03 19:08:35 GMT 2021","129816","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:34"
"broken","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","1","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:26"
"broken","Thu Jun 03 18:55:41 GMT 2021","Thu Jun 03 18:57:49 GMT 2021","128510","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:27"
"broken","Thu Jun 03 19:08:35 GMT 2021","Thu Jun 03 19:10:43 GMT 2021","128572","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:25"
"broken","Thu Jun 03 18:53:32 GMT 2021","Thu Jun 03 18:55:41 GMT 2021","128587","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:27"
"broken","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:30"
"broken","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 19:02:08 GMT 2021","129759","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:40"
"broken","Thu Jun 03 18:51:24 GMT 2021","Thu Jun 03 18:53:32 GMT 2021","128553","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:26"
"skipped","Thu Jun 03 18:59:58 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:34"
"broken","Thu Jun 03 19:10:43 GMT 2021","Thu Jun 03 19:12:52 GMT 2021","128547","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:24"
"broken","Thu Jun 03 19:02:08 GMT 2021","Thu Jun 03 19:04:16 GMT 2021","128398","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:28"
"broken","Thu Jun 03 18:57:49 GMT 2021","Thu Jun 03 18:59:58 GMT 2021","128528","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:24"
