"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:30"
"broken","Thu Jun 03 19:05:58 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","128472","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:24"
"broken","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:34"
"broken","Thu Jun 03 18:59:33 GMT 2021","Thu Jun 03 19:01:42 GMT 2021","128538","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:26"
"broken","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","1","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:26"
"broken","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:38"
"broken","Thu Jun 03 19:12:25 GMT 2021","Thu Jun 03 19:14:33 GMT 2021","128393","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:24"
"skipped","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:08:07 GMT 2021","1","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:34"
"broken","Thu Jun 03 19:18:51 GMT 2021","Thu Jun 03 19:21:00 GMT 2021","128464","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:24"
"broken","Thu Jun 03 19:01:42 GMT 2021","Thu Jun 03 19:03:50 GMT 2021","128379","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:27"
"broken","Thu Jun 03 19:16:43 GMT 2021","Thu Jun 03 19:18:51 GMT 2021","128343","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:25"
"broken","Thu Jun 03 19:14:33 GMT 2021","Thu Jun 03 19:16:43 GMT 2021","129645","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Thu Jun 03 18:57:24 GMT 2021","Thu Jun 03 18:59:33 GMT 2021","129008","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:26"
"broken","Thu Jun 03 19:08:07 GMT 2021","Thu Jun 03 19:10:16 GMT 2021","129340","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:40"
"broken","Thu Jun 03 19:10:16 GMT 2021","Thu Jun 03 19:12:25 GMT 2021","128347","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:28"
"broken","Thu Jun 03 19:03:50 GMT 2021","Thu Jun 03 19:05:58 GMT 2021","128459","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:27"
