"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 21 00:29:03 GMT 2021","Fri May 21 00:30:00 GMT 2021","57051","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"passed","Fri May 21 00:28:45 GMT 2021","Fri May 21 00:28:45 GMT 2021","20","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"skipped","Fri May 21 00:28:45 GMT 2021","Fri May 21 00:28:45 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Fri May 21 00:30:16 GMT 2021","Fri May 21 00:32:47 GMT 2021","150978","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Fri May 21 00:28:34 GMT 2021","Fri May 21 00:28:45 GMT 2021","11071","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Fri May 21 00:28:45 GMT 2021","Fri May 21 00:29:03 GMT 2021","17662","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"passed","Fri May 21 00:27:19 GMT 2021","Fri May 21 00:27:38 GMT 2021","19666","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Fri May 21 00:27:53 GMT 2021","Fri May 21 00:28:13 GMT 2021","20413","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"skipped","Fri May 21 00:28:23 GMT 2021","Fri May 21 00:28:23 GMT 2021","1","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"passed","Fri May 21 00:30:00 GMT 2021","Fri May 21 00:30:16 GMT 2021","16172","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Fri May 21 00:26:55 GMT 2021","Fri May 21 00:27:19 GMT 2021","23812","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Fri May 21 00:35:18 GMT 2021","Fri May 21 00:37:49 GMT 2021","151051","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Fri May 21 00:32:47 GMT 2021","Fri May 21 00:35:18 GMT 2021","150946","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Fri May 21 00:28:45 GMT 2021","Fri May 21 00:28:45 GMT 2021","26","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Fri May 21 00:27:38 GMT 2021","Fri May 21 00:27:53 GMT 2021","14452","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"passed","Fri May 21 00:28:13 GMT 2021","Fri May 21 00:28:23 GMT 2021","10142","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
