"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 02 00:28:43 GMT 2021","Wed Jun 02 00:30:53 GMT 2021","129977","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Wed Jun 02 00:37:59 GMT 2021","Wed Jun 02 00:37:59 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Wed Jun 02 00:38:00 GMT 2021","Wed Jun 02 00:40:09 GMT 2021","129806","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"skipped","Wed Jun 02 00:37:23 GMT 2021","Wed Jun 02 00:37:23 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Wed Jun 02 00:35:13 GMT 2021","Wed Jun 02 00:37:23 GMT 2021","130014","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Wed Jun 02 00:44:29 GMT 2021","Wed Jun 02 00:46:39 GMT 2021","129715","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Wed Jun 02 00:37:59 GMT 2021","Wed Jun 02 00:37:59 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Wed Jun 02 00:48:49 GMT 2021","Wed Jun 02 00:50:59 GMT 2021","129931","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Wed Jun 02 00:37:59 GMT 2021","Wed Jun 02 00:37:59 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Wed Jun 02 00:33:03 GMT 2021","Wed Jun 02 00:35:13 GMT 2021","130013","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Wed Jun 02 00:37:59 GMT 2021","Wed Jun 02 00:37:59 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Wed Jun 02 00:40:09 GMT 2021","Wed Jun 02 00:42:20 GMT 2021","130056","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Wed Jun 02 00:42:20 GMT 2021","Wed Jun 02 00:44:29 GMT 2021","129886","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Wed Jun 02 00:46:39 GMT 2021","Wed Jun 02 00:48:49 GMT 2021","129967","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Wed Jun 02 00:26:32 GMT 2021","Wed Jun 02 00:28:43 GMT 2021","131154","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Wed Jun 02 00:30:53 GMT 2021","Wed Jun 02 00:33:03 GMT 2021","129938","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
