"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 21 00:10:48 GMT 2021","Fri May 21 00:11:03 GMT 2021","14336","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"passed","Fri May 21 00:10:29 GMT 2021","Fri May 21 00:10:48 GMT 2021","19466","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"passed","Fri May 21 00:13:07 GMT 2021","Fri May 21 00:13:23 GMT 2021","15442","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"passed","Fri May 21 00:11:03 GMT 2021","Fri May 21 00:11:23 GMT 2021","19870","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"skipped","Fri May 21 00:11:33 GMT 2021","Fri May 21 00:11:33 GMT 2021","1","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Fri May 21 00:13:23 GMT 2021","Fri May 21 00:15:53 GMT 2021","150270","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"passed","Fri May 21 00:09:58 GMT 2021","Fri May 21 00:10:29 GMT 2021","30513","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"failed","Fri May 21 00:12:11 GMT 2021","Fri May 21 00:13:07 GMT 2021","56187","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Fri May 21 00:18:23 GMT 2021","Fri May 21 00:20:53 GMT 2021","150064","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"skipped","Fri May 21 00:11:54 GMT 2021","Fri May 21 00:11:54 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"passed","Fri May 21 00:11:23 GMT 2021","Fri May 21 00:11:33 GMT 2021","10065","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"passed","Fri May 21 00:11:43 GMT 2021","Fri May 21 00:11:53 GMT 2021","10533","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"passed","Fri May 21 00:11:54 GMT 2021","Fri May 21 00:11:54 GMT 2021","33","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Fri May 21 00:15:53 GMT 2021","Fri May 21 00:18:23 GMT 2021","149977","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"passed","Fri May 21 00:11:53 GMT 2021","Fri May 21 00:11:54 GMT 2021","22","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"passed","Fri May 21 00:11:54 GMT 2021","Fri May 21 00:12:11 GMT 2021","17318","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
