"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 28 20:23:03 GMT 2021","Fri May 28 20:25:12 GMT 2021","129248","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"skipped","Fri May 28 20:13:50 GMT 2021","Fri May 28 20:13:50 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Fri May 28 20:14:26 GMT 2021","Fri May 28 20:14:26 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Fri May 28 20:20:54 GMT 2021","Fri May 28 20:23:03 GMT 2021","129256","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:38"
"broken","Fri May 28 20:09:31 GMT 2021","Fri May 28 20:11:41 GMT 2021","129170","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Fri May 28 20:16:35 GMT 2021","Fri May 28 20:18:44 GMT 2021","129118","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Fri May 28 20:14:26 GMT 2021","Fri May 28 20:14:26 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Fri May 28 20:03:01 GMT 2021","Fri May 28 20:05:13 GMT 2021","131218","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Fri May 28 20:11:41 GMT 2021","Fri May 28 20:13:50 GMT 2021","129205","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Fri May 28 20:25:12 GMT 2021","Fri May 28 20:27:22 GMT 2021","129304","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Fri May 28 20:07:22 GMT 2021","Fri May 28 20:09:31 GMT 2021","129509","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Fri May 28 20:14:26 GMT 2021","Fri May 28 20:14:26 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Fri May 28 20:18:44 GMT 2021","Fri May 28 20:20:54 GMT 2021","129368","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Fri May 28 20:14:26 GMT 2021","Fri May 28 20:16:35 GMT 2021","129167","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Fri May 28 20:05:13 GMT 2021","Fri May 28 20:07:22 GMT 2021","129318","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Fri May 28 20:14:26 GMT 2021","Fri May 28 20:14:26 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
